rental_id,customer_id,product_id,rental_duration_days,actual_return_days,payment_type,customer_past_late_returns,is_late
14769c5d-4816-487a-ae49-17e6c38fbdd2,002bcb61-90a6-4fc7-98e4-85ce47ba5a65,54212224-1678-4cfe-bfb2-feff14cc7111,1,13,online_wallet,1,1
f99ac50a-9f9f-4b44-a213-ca2c731dc4dc,942075ec-0a41-47da-a1d1-7e33543259c1,164fbf27-fdba-4f39-b4e1-85ffaaece87c,22,29,online_wallet,5,1
f7e23d95-cc0b-446a-91d1-66b28da0703d,8a65e01f-a3fd-4f64-bda0-d7796a83598c,458d3fb0-8832-4329-93b3-0d625c213979,1,1,credit_card,0,0
83ec92ea-d652-43ef-88ea-cf93410bf3b3,df883c8f-a740-4758-9f62-be1ced918a8c,df609cd0-bafc-4701-96db-f881eb94a0f4,7,5,online_wallet,3,0
306d4897-2814-47b2-90e9-bad16b61522e,aac05682-6e70-4cfc-8cef-a333b470fc12,b5c51703-1a6a-48f8-a3db-59195c84e6d7,19,32,cash,4,1
eb542e9c-1d9f-40ed-a498-d665e88c3265,8b0d2647-a71c-4bee-90e9-b2faa8c6c58a,51088690-ed8a-435a-a911-322f68931027,23,36,cash,1,1
2a681594-c500-4f3b-9df7-292997710706,65c2c270-66dd-4536-a0ff-d55f94ff0386,f9e9de03-5f8d-4ab7-98fd-c86b9019f07a,4,3,credit_card,1,0
3cdd1dd7-c201-4b40-b4ee-0950875cf476,bac820c4-f622-4030-8955-2ebb557f90b0,e5884ae0-c2c4-41d5-b53a-04ee20f5e765,9,8,credit_card,4,0
200b18c4-9bae-48bf-bcb4-962a87f19263,248f2d3f-cf7e-4673-bb81-3b8e272897e5,ce141a98-e10f-483a-b676-0454cbe9fa8c,18,17,cash,5,0
0d7cb9cd-444b-4803-9a7c-d49bb49c2116,0e35c399-7b1c-4d21-852f-83e50472ed71,ab21b390-1e15-4a19-9c94-4ef72fa11c84,7,6,online_wallet,0,0
b22111fb-2d02-4fb7-9497-b1e077e76658,248f2d3f-cf7e-4673-bb81-3b8e272897e5,3458daeb-1703-4f30-9e40-118863eca912,28,36,credit_card,5,1
f79102c3-1839-4261-89e0-fbfb3c1a4c9c,c8670357-d15e-448b-aeee-bae3b016857a,ca03c175-2d55-4fd8-94a4-1bcc1b1e338c,6,6,cash,1,0
d47b43a6-d6b7-4dbb-955f-8248c92c7596,b7829cce-5ac2-4e06-8cba-bab1aa8ac9e6,67e92c9f-a092-44fe-b93e-17b8aadbb410,20,18,online_wallet,0,0
71421533-1dbb-47f5-a603-df5aab5eba1f,84cb93ab-b588-49c1-b737-f1752aac32e6,d995cc04-dbce-4ad7-8a6a-e640a090d0d5,13,22,cash,8,1
851d4e39-ca75-400d-a42e-0cc88c6b443c,fc085375-e233-4707-b7c2-a78125d74ca2,ebb0837e-fb11-42ff-a92d-c4232f01c579,22,20,cash,5,0
947ae41a-650a-491e-9564-183fb926bbb1,8a65e01f-a3fd-4f64-bda0-d7796a83598c,cbfead5e-290a-40a6-88e0-0d305764ced1,26,41,cash,1,1
