
product_id,product_name,month,rentals_count,base_price
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2024-09,45,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2024-10,48,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2024-11,50,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2024-12,47,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2025-01,42,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2025-02,46,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2025-03,35,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2025-04,28,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2025-05,30,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2025-06,25,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2025-07,22,₹3500
a1b2c3d4-e5f6-7890-abcd-ef1234567890,Canon EOS R5 Camera,2025-08,20,₹3500
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2024-09,18,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2024-10,22,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2024-11,25,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2024-12,20,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2025-01,15,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2025-02,18,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2025-03,28,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2025-04,32,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2025-05,35,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2025-06,30,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2025-07,25,₹2800
b2c3d4e5-f6g7-8901-bcde-f23456789012,DJI Mavic 3 Drone,2025-08,28,₹2800
